Name,Height,Pos,Team,img_Link,PTS,AST,REB,PIE
Alex Abrines,198.12,Guard,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/alex_abrines.png,4.7,0.4,1.5,0.048
Quincy Acy,200.66,Forward,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/quincy_acy.png,5.9,0.8,3.7,0.058
Steven Adams,213.36,Center,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/steven_adams.png,13.9,1.2,9.0,0.109
Bam Adebayo,208.28,Center-Forward,MIA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/bam_adebayo.png,6.9,1.5,5.5,0.111
Arron Afflalo,195.58,Guard,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/arron_afflalo.png,3.4,0.6,1.2,0.042
Alexis Ajinca,218.44,Center,NOP,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/alexis_ajinca.png,5.3,0.3,4.5,0.088
Cole Aldrich,210.82,Center,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/cole_aldrich.png,3.1,0.5,3.3,0
LaMarcus Aldridge,210.82,Forward,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/lamarcus_aldridge.png,23.1,2.0,8.5,0.159
Jarrett Allen,210.82,Center,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jarrett_allen.png,8.2,0.7,5.4,0.108
Kadeem Allen,190.5,Guard,BOS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kadeem_allen.png,1.1,0.7,0.6,0.006
Al-Farouq Aminu,205.74,Forward,POR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/al-farouq_aminu.png,9.3,1.2,7.6,0.09
Justin Anderson,198.12,Guard-Forward,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/justin_anderson.png,6.2,0.7,2.4,0.087
Kyle Anderson,205.74,Forward,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kyle_anderson.png,7.9,2.7,5.4,0.111
Ryan Anderson,208.28,Forward,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/ryan_anderson.png,9.3,0.9,5.0,0.077
Ike Anigbogu,208.28,Center-Forward,IND,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/ike_anigbogu.png,1.2,0.0,0.8,0.109
Giannis Antetokounmpo,210.82,Forward,MIL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/giannis_antetokounmpo.png,26.9,4.8,10.0,0.186
Carmelo Anthony,203.2,Forward,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/carmelo_anthony.png,16.2,1.3,5.8,0.086
OG Anunoby,203.2,Forward,TOR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/og_anunoby.png,5.9,0.7,2.5,0.056
Ryan Arcidiacono,190.5,Guard,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/ryan_arcidiacono.png,2.0,1.5,1.0,0.057
Trevor Ariza,203.2,Forward-Guard,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/trevor_ariza.png,11.7,1.6,4.4,0.077
Darrell Arthur,205.74,Forward,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/darrell_arthur.png,2.8,0.5,0.8,0.039
Jamel Artis,200.66,Guard,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jamel_artis.png,5.1,1.2,2.5,0.062
Omer Asik,213.36,Center,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/omer_asik.png,1.2,0.2,2.6,0.027
D.J. Augustin,182.88,Guard,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/d.j._augustin.png,10.2,3.8,2.1,0.107
Luke Babbitt,205.74,Forward,MIA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/luke_babbitt.png,5.2,0.6,1.9,0.068
Dwayne Bacon,200.66,Forward,CHA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/dwayne_bacon.png,3.3,0.7,2.3,0.058
Ron Baker,193.04,Guard,NYK,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/ron_baker.png,2.4,1.6,1.0,0.058
Wade Baldwin IV,193.04,Guard,POR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/wade_baldwin iv.png,5.4,0.7,1.1,0.094
Lonzo Ball,198.12,Guard,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/lonzo_ball.png,10.2,7.2,6.9,0.098
J.J. Barea,182.88,Guard,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/j.j._barea.png,11.6,6.3,2.9,0.133
Harrison Barnes,203.2,Forward,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/harrison_barnes.png,18.9,2.0,6.1,0.114
Will Barton,198.12,Forward-Guard,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/will_barton.png,15.7,4.1,5.0,0.109
Nicolas Batum,203.2,Guard-Forward,CHA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/nicolas_batum.png,11.6,5.5,4.8,0.104
Jerryd Bayless,190.5,Guard,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jerryd_bayless.png,7.9,1.4,2.1,0.047
Aron Baynes,208.28,Center,BOS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/aron_baynes.png,6.0,1.1,5.4,0.087
Kent Bazemore,195.58,Guard,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kent_bazemore.png,12.9,3.5,3.8,0.099
Bradley Beal,195.58,Guard,WAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/bradley_beal.png,22.6,4.5,4.4,0.125
Malik Beasley,195.58,Guard,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/malik_beasley.png,3.2,0.5,1.1,0.06
Michael Beasley,205.74,Forward,NYK,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/michael_beasley.png,13.2,1.7,5.6,0.122
Marco Belinelli,195.58,Guard-Forward,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/marco_belinelli.png,12.1,1.9,1.9,0.093
Jordan Bell,205.74,Center-Forward,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jordan_bell.png,4.6,1.8,3.6,0.111
DeAndre' Bembry,198.12,Forward-Guard,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/deandre'_bembry.png,5.2,1.9,2.8,0.063
Dragan Bender,215.9,Forward,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/dragan_bender.png,6.5,1.6,4.4,0.058
Davis Bertans,208.28,Center-Forward,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/davis_bertans.png,5.9,1.0,2.0,0.092
Patrick Beverley,185.42000000000002,Guard,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/patrick_beverley.png,12.2,2.9,4.1,0.077
Khem Birch,205.74,Center,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/khem_birch.png,4.2,0.8,4.3,0.109
Jabari Bird,198.12,Guard,BOS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jabari_bird.png,3.0,0.6,1.5,0.076
Bismack Biyombo,205.74,Center,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/bismack_biyombo.png,5.7,0.8,5.7,0.098
Nemanja Bjelica,208.28,Forward,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/nemanja_bjelica.png,6.8,1.3,4.1,0.082
Tarik Black,205.74,Forward-Center,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tarik_black.png,3.5,0.3,3.2,0.073
Antonio Blakeney,193.04,Guard,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/antonio_blakeney.png,7.9,1.1,1.7,0.064
Eric Bledsoe,185.42000000000002,Guard,MIL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/eric_bledsoe.png,17.7,5.0,3.8,0.125
Bogdan Bogdanovic,198.12,Guard,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/bogdan_bogdanovic.png,11.8,3.3,2.9,0.087
Bojan Bogdanovic,203.2,Forward-Guard,IND,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/bojan_bogdanovic.png,14.3,1.5,3.4,0.091
Devin Booker,198.12,Guard,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/devin_booker.png,24.9,4.7,4.5,0.123
Trevor Booker,203.2,Forward,IND,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/trevor_booker.png,6.3,1.2,4.7,0.1
Chris Boucher,208.28,Forward,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/chris_boucher.png,0.0,0.0,1.0,0.0
Avery Bradley,187.96,Guard,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/avery_bradley.png,14.3,2.0,2.5,0.06
Tony Bradley,208.28,Center,UTA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tony_bradley.png,0.9,0.1,1.2,0.088
Corey Brewer,205.74,Guard-Forward,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/corey_brewer.png,5.3,0.9,2.1,0.059
Malcolm Brogdon,195.58,Guard,MIL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/malcolm_brogdon.png,13.0,3.2,3.3,0.094
Aaron Brooks,182.88,Guard,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/aaron_brooks.png,2.3,0.6,0.5,0.044
Dillon Brooks,198.12,Forward-Guard,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/dillon_brooks.png,11.0,1.6,3.1,0.063
MarShon Brooks,195.58,Guard-Forward,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/marshon_brooks.png,20.1,3.6,3.0,0.147
Anthony Brown,200.66,Forward-Guard,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/anthony_brown.png,3.0,1.0,0.0,0.229
Jaylen Brown,200.66,Guard-Forward,BOS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jaylen_brown.png,14.5,1.6,4.9,0.089
Lorenzo Brown,195.58,Guard,TOR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/lorenzo_brown.png,2.3,0.9,1.1,0.076
Markel Brown,190.5,Guard,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/markel_brown.png,1.3,0.5,1.3,-0.013
Sterling Brown,198.12,Guard,MIL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/sterling_brown.png,4.0,0.5,2.6,0.063
Thomas Bryant,208.28,Center,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/thomas_bryant.png,1.5,0.4,1.1,0
Reggie Bullock,200.66,Guard-Forward,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/reggie_bullock.png,11.3,1.5,2.5,0.084
Trey Burke,185.42000000000002,Guard,NYK,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/trey_burke.png,12.8,4.7,2.0,0.129
Alec Burks,198.12,Guard,UTA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/alec_burks.png,7.7,1.0,3.0,0.101
Jimmy Butler,203.2,Guard,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jimmy_butler.png,22.2,4.9,5.3,0.151
Dwight Buycks,190.5,Guard,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/dwight_buycks.png,7.4,2.0,1.4,0.084
Bruno Caboclo,205.74,Forward,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/bruno_caboclo.png,2.2,0.3,1.8,0.052
Jose Calderon,190.5,Guard,CLE,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jose_calderon.png,4.5,2.1,1.5,0.067
Kentavious Caldwell-Pope,195.58,Guard,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kentavious_caldwell-pope.png,13.4,2.2,5.2,0.092
Clint Capela,208.28,Center,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/clint_capela.png,13.9,0.9,10.8,0.155
DeMarre Carroll,203.2,Forward,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/demarre_carroll.png,13.5,2.0,6.6,0.101
